symbol,n_seeds,baseline_mean_pnl,as_mean_pnl,mean_diff,diff_sd,as_wins,t_p,wilcoxon_p,base_max_inv,as_max_inv
GTCO,50,1223650.06,2486743.0,1263092.94,398018.47459913325,50,1.976309711010618e-27,1.7763568394002505e-15,19.190852000000003,11.154707999999998
OANDO,50,137427.262,267257.8,129830.538,56001.81703845444,50,1.5803963416166726e-21,1.7763568394002505e-15,9.109758,7.96656
LIVESTOCK,50,8492.944800000001,27596.512,19103.5672,11425.074339300869,49,5.823338711854204e-16,7.638334409421077e-14,5.9567820000000005,6.147238
