symbol,strategy,seed,pnl_ngn,final_inv_lots,max_abs_inv_lots,inv_std_lots,fill_events,filled_shares,buy_shares,sell_shares,quotes_posted,engine_trades,market_orders,reconciled
GTCO,baseline,19,926304,4.6291,12.6606,5.14444,1151,6.98499e+06,3.51564e+06,3.46935e+06,6240,2981,2412,1
GTCO,avellaneda_stoikov,19,2.61693e+06,-19.4912,19.4912,3.17057,1835,1.12403e+07,5.52270e+06,5.71762e+06,6240,3214,2412,1
GTCO,baseline,20,792365,-12.3666,13.3666,4.91691,1164,7.16426e+06,3.5203e+06,3.64396e+06,6240,3019,2424,1
GTCO,avellaneda_stoikov,20,2.36322e+06,4.2954,8.782,1.97316,1779,1.08126e+07,5.42778e+06,5.38483e+06,6240,3211,2424,1
GTCO,baseline,21,959869,5.4693,16.4929,4.92625,1077,6.63851e+06,3.3466e+06,3.29191e+06,6240,2907,2360,1
GTCO,avellaneda_stoikov,21,2.13602e+06,7.5059,9.9137,2.16184,1727,1.05593e+07,5.31717e+06,5.24211e+06,6240,3136,2360,1
GTCO,baseline,22,437183,-11.5595,19.947,7.41853,1069,6.62539e+06,3.2549e+06,3.37049e+06,6240,2856,2289,1
GTCO,avellaneda_stoikov,22,2.27997e+06,-12.4172,16.7397,3.38731,1712,1.05396e+07,5.20773e+06,5.3319e+06,6240,3085,2289,1
GTCO,baseline,23,1.00803e+06,1.084,17.7441,5.63045,1125,6.69803e+06,3.35444e+06,3.3436e+06,6240,2937,2405,1
GTCO,avellaneda_stoikov,23,2.26443e+06,12.434,17.5508,3.5022,1782,1.07028e+07,5.41358e+06,5.28924e+06,6240,3155,2405,1
GTCO,baseline,24,1.0771e+06,12.7768,17.5945,4.85805,1142,7.12641e+06,3.62709e+06,3.49932e+06,6240,2988,2395,1
GTCO,avellaneda_stoikov,24,2.43541e+06,4.1151,9.1173,1.76477,1786,1.11819e+07,5.61153e+06,5.57038e+06,6240,3219,2395,1
GTCO,baseline,25,595586,-37.1512,37.1512,9.4639,1086,6.5394e+06,3.08394e+06,3.45546e+06,6240,2885,2329,1
GTCO,avellaneda_stoikov,25,2.35029e+06,9.9648,15.3075,2.58389,1752,1.06874e+07,5.39353e+06,5.29388e+06,6240,3115,2329,1
GTCO,baseline,26,972964,9.6194,13.7068,4.7251,1136,6.85352e+06,3.47486e+06,3.37866e+06,6240,2906,2353,1
GTCO,avellaneda_stoikov,26,2.28011e+06,-7.5103,8.0554,1.69342,1767,1.06915e+07,5.30819e+06,5.3833e+06,6240,3126,2353,1
GTCO,baseline,27,1.35514e+06,27.2595,29.5439,8.36553,1064,6.64017e+06,3.45638e+06,3.18379e+06,6240,2847,2294,1
GTCO,avellaneda_stoikov,27,2.40306e+06,6.1759,12.9925,2.86412,1727,1.06153e+07,5.33855e+06,5.27679e+06,6240,3080,2294,1
GTCO,baseline,28,982678,3.3243,14.3238,4.59652,1181,7.08848e+06,3.56086e+06,3.52762e+06,6240,3040,2455,1
GTCO,avellaneda_stoikov,28,2.47794e+06,-13.2711,13.2711,2.40607,1818,1.11685e+07,5.51791e+06,5.65062e+06,6240,3274,2455,1
GTCO,baseline,29,577884,12.7618,17.019,8.05099,1114,6.81425e+06,3.47093e+06,3.34332e+06,6240,2876,2306,1
GTCO,avellaneda_stoikov,29,2.2637e+06,-4.1997,8.7767,1.64274,1758,1.06511e+07,5.30458e+06,5.34657e+06,6240,3091,2306,1
GTCO,baseline,30,1.89005e+06,-24.9949,27.2297,9.63861,1058,6.59418e+06,3.17211e+06,3.42206e+06,6240,2847,2310,1
GTCO,avellaneda_stoikov,30,2.20421e+06,6.6035,16.0811,2.56179,1736,1.06131e+07,5.33957e+06,5.27354e+06,6240,3081,2310,1
GTCO,baseline,31,1.06776e+06,21.0179,27.2256,9.13681,1160,7.2334e+06,3.72179e+06,3.51161e+06,6240,3031,2414,1
GTCO,avellaneda_stoikov,31,2.36917e+06,-2.0978,9.5108,1.6175,1802,1.10777e+07,5.52835e+06,5.54933e+06,6240,3228,2414,1
GTCO,baseline,32,815611,2.7559,10.0234,3.09896,1121,6.80773e+06,3.41764e+06,3.39008e+06,6240,2917,2378,1
GTCO,avellaneda_stoikov,32,2.55071e+06,-20.218,21.0628,3.96943,1795,1.07979e+07,5.29785e+06,5.50003e+06,6240,3137,2378,1
GTCO,baseline,33,1.08567e+06,2.3638,13.0709,3.11486,1116,6.60666e+06,3.31515e+06,3.29151e+06,6240,2895,2358,1
GTCO,avellaneda_stoikov,33,2.16069e+06,-14.7333,14.7333,2.59247,1753,1.06403e+07,5.2465e+06,5.39383e+06,6240,3125,2358,1
GTCO,baseline,34,908610,26.6444,31.511,11.2746,1160,7.01774e+06,3.64209e+06,3.37565e+06,6240,3055,2475,1
GTCO,avellaneda_stoikov,34,2.28873e+06,22.9423,27.7619,4.26187,1839,1.11999e+07,5.71466e+06,5.48524e+06,6240,3297,2475,1
GTCO,baseline,35,780607,17.8214,28.5407,6.20746,1091,6.6957e+06,3.43696e+06,3.25874e+06,6240,2897,2316,1
GTCO,avellaneda_stoikov,35,2.22034e+06,-15.7405,19.2866,3.5997,1732,1.06283e+07,5.23544e+06,5.39284e+06,6240,3106,2316,1
GTCO,baseline,36,461992,28.9353,34.1176,9.22119,1123,6.92125e+06,3.6053e+06,3.31595e+06,6240,2937,2351,1
GTCO,avellaneda_stoikov,36,2.27473e+06,-1.5944,7.7462,1.65508,1732,1.06738e+07,5.32894e+06,5.34489e+06,6240,3135,2351,1
